mID,formula,vm1,vm2,vm3,sites,pointGroup,spaceGroup,volume,a,b,c,alpha,beta,gamma,eij,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
mp-5342,GaAgS2,1.0,1.0,1.0,8,-42m,122,177.68537908135505,5.78667280,5.78667280,6.70073693,115.58145065,115.58145073,90.00000002,0.10456,0.0,0.0,0.0,-0.253555,0.0,0.0,0.0,0.0,0.0,0.0,-0.253555,0.0,0.0,0.0,0.0,0.0,0.0,-0.0362
mp-19412,VAg3O4,1.0,1.0,1.0,8,-42m,121,127.97132129110959,5.06708750,5.06708751,6.13840220,114.37686515,114.37686521,90.00000005,0.501544,0.0,0.0,0.0,-1.1953,0.0,0.0,0.0,0.0,0.0,0.0,-1.1953,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155
mp-510657,VCu3O4,1.0,1.0,1.0,8,-42m,121,95.5160194449287,4.59670187,4.59670522,5.56789384,114.38222156,114.38264539,90.00004246,1.483453,0.0,0.0,0.0,3.611705,0.0,0.0,0.0,0.0,0.0,0.0,3.611705,0.0,0.0,0.0,0.0,0.0,0.0,0.48484
mp-8311,Si3NiP4,1.0,1.0,1.0,8,-42m,121,141.19361586829132,5.20341572,5.20341572,6.38215880,114.05750144,114.05750148,89.99999995,0.376736,0.0,0.0,0.0,0.617535,0.0,0.0,0.0,0.0,0.0,0.0,0.617535,0.0,0.0,0.0,0.0,0.0,0.0,0.72251
mp-3595,ZnSiAs2,1.0,1.0,1.0,8,-42m,122,178.36815311751553,5.67932051,5.67932050,6.83433684,114.55074600,114.55074593,89.99999999,0.061492,0.0,0.0,0.0,0.066395,0.0,0.0,0.0,0.0,0.0,0.0,0.066395,0.0,0.0,0.0,0.0,0.0,0.0,0.18673
mp-5238,GaCuS2,1.0,1.0,1.0,8,-42m,122,152.70089010104192,5.36346601,5.36346601,6.52386309,114.27176582,114.27176580,90.00000006,0.022913,0.0,0.0,0.0,-0.02923,0.0,0.0,0.0,0.0,0.0,0.0,-0.02923,0.0,0.0,0.0,0.0,0.0,0.0,-0.0606
mp-3668,CdGeP2,1.0,1.0,1.0,8,-42m,122,185.24645909700513,5.81093601,5.81093601,6.85419226,115.08083449,115.08083451,89.99999998,0.008608,0.0,0.0,0.0,-0.085065,0.0,0.0,0.0,0.0,0.0,0.0,-0.085065,0.0,0.0,0.0,0.0,0.0,0.0,0.1254
mp-4666,CdSiP2,1.0,1.0,1.0,8,-42m,122,173.74813194016113,5.73172615,5.73172615,6.66308747,115.47456529,115.47456527,89.99999999,0.047127,0.0,0.0,0.0,-0.155355,0.0,0.0,0.0,0.0,0.0,0.0,-0.155355,0.0,0.0,0.0,0.0,0.0,0.0,0.06583
mp-20187,LiInSe2,1.0,1.0,1.0,8,-42m,122,217.89431663098966,6.03882668,6.03882669,7.34403223,114.27636467,114.27636468,90.00000000,0.049639,0.0,0.0,0.0,-0.07981,0.0,0.0,0.0,0.0,0.0,0.0,-0.07981,0.0,0.0,0.0,0.0,0.0,0.0,-0.09831
mp-4763,ZnSiP2,1.0,1.0,1.0,8,-42m,122,154.87826641095086,5.42182875,5.42182875,6.51588269,114.58527742,114.58527740,89.99999998,0.031891,0.0,0.0,0.0,0.024695,0.0,0.0,0.0,0.0,0.0,0.0,0.024695,0.0,0.0,0.0,0.0,0.0,0.0,0.11632
mp-19896,Li2GePbS4,1.0,1.0,1.0,8,-42m,121,170.71237229473525,6.10099481,6.10099481,6.10099482,99.19708175,114.83992529,114.83992529,1.646216,0.0,0.0,0.0,4.69449,0.0,0.0,0.0,0.0,0.0,0.0,4.69449,0.0,0.0,0.0,0.0,0.0,0.0,-0.83499
mp-629443,EuLi2GeS4,1.0,1.0,1.0,8,-42m,121,166.7351201611132,6.04114469,6.04533113,6.04015353,100.59566509,114.08492598,114.12055715,0.022686,0.0,0.0,0.0,0.08921,0.0,0.0,0.0,0.0,0.0,0.0,0.08921,0.0,0.0,0.0,0.0,0.0,0.0,-0.2963
mp-4524,ZnGeP2,1.0,1.0,1.0,8,-42m,122,164.24975576087445,5.50407608,5.50407608,6.67400261,114.35266696,114.35266694,89.99999994,0.050728,0.0,0.0,0.0,0.067415,0.0,0.0,0.0,0.0,0.0,0.0,0.067415,0.0,0.0,0.0,0.0,0.0,0.0,0.12876
mp-4175,ZnSnP2,1.0,1.0,1.0,8,-42m,122,186.23935144823037,5.70658741,5.70658740,6.99923503,114.05779464,114.05779461,90.00000003,0.047237,0.0,0.0,0.0,0.085665,0.0,0.0,0.0,0.0,0.0,0.0,0.085665,0.0,0.0,0.0,0.0,0.0,0.0,0.07412
